,employerId,yrmn,monthly_salary
0,379.0,2022-10,3554.8213376000003
1,379.0,2022-11,3554.8213376000003
2,379.0,2022-12,3554.8213376000003
3,379.0,2022-3,3554.8213376000003
4,379.0,2022-4,3554.8213376000003
5,379.0,2022-5,3554.8213376000003
6,379.0,2022-6,3554.8213376000003
7,379.0,2022-7,3554.8213376000003
8,379.0,2022-8,3554.8213376000003
9,379.0,2022-9,3554.8213376000003
10,379.0,2023-1,3554.8213376000003
11,379.0,2023-2,3554.8213376000003
12,379.0,2023-3,3554.8213376000003
13,379.0,2023-4,3554.8213376000003
14,379.0,2023-5,3554.8213376000003
15,381.0,2022-10,11841.3784112
16,381.0,2022-11,11841.3784112
17,381.0,2022-12,11841.3784112
18,381.0,2022-3,11841.3784112
19,381.0,2022-4,11841.3784112
20,381.0,2022-5,11841.3784112
21,381.0,2022-6,11841.3784112
22,381.0,2022-7,11841.3784112
23,381.0,2022-8,11841.3784112
24,381.0,2022-9,11841.3784112
25,381.0,2023-1,11841.3784112
26,381.0,2023-2,11841.3784112
27,381.0,2023-3,11841.3784112
28,381.0,2023-4,11841.3784112
29,381.0,2023-5,11841.3784112
30,382.0,2022-10,12904.5545088
31,382.0,2022-11,12904.5545088
32,382.0,2022-12,12904.5545088
33,382.0,2022-3,32316.3626144
34,382.0,2022-4,12904.5545088
35,382.0,2022-5,12904.5545088
36,382.0,2022-6,12904.5545088
37,382.0,2022-7,12904.5545088
38,382.0,2022-8,12904.5545088
39,382.0,2022-9,12904.5545088
40,382.0,2023-1,12904.5545088
41,382.0,2023-2,12904.5545088
42,382.0,2023-3,12904.5545088
43,382.0,2023-4,12904.5545088
44,382.0,2023-5,12904.5545088
45,383.0,2022-10,37079.169032
46,383.0,2022-11,37079.169032
47,383.0,2022-12,37079.169032
48,383.0,2022-3,37079.169032
49,383.0,2022-4,37079.169032
50,383.0,2022-5,37079.169032
51,383.0,2022-6,37079.169032
52,383.0,2022-7,37079.169032
53,383.0,2022-8,37079.169032
54,383.0,2022-9,37079.169032
55,383.0,2023-1,37079.169032
56,383.0,2023-2,37079.169032
57,383.0,2023-3,37079.169032
58,383.0,2023-4,37079.169032
59,383.0,2023-5,37079.169032
60,384.0,2022-10,12052.6234176
