,timestamp,participantId,currentMode,hungerStatus,sleepStatus,apartmentId,availableBalance,jobId,financialStatus,dailyFoodBudget,weeklyExtraBudget,x,y
0,2022-03-01 05:45:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-2158.723146778084,2525.141681242502
1,2022-03-01 05:50:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-1991.3110884571408,2787.562020547484
2,2022-03-01 05:55:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-1968.3563156051728,3204.969237308324
3,2022-03-01 06:00:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-1937.419892307972,3623.2730313661536
4,2022-03-01 06:05:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-1733.4168583917078,3879.255644016473
5,2022-03-01 06:10:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-1645.5730021154984,4222.45644187103
6,2022-03-01 06:15:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-1227.9731589942958,4265.298852270124
7,2022-03-01 06:20:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-808.5930836375272,4262.78474510941
8,2022-03-01 06:25:00+00:00,1008.0,Transport,BecomingHungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-390.1658217757917,4229.354524049834
9,2022-03-01 06:30:00+00:00,1008.0,Transport,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,-50.71358467192458,4099.856470741633
10,2022-03-01 06:35:00+00:00,1008.0,Transport,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,185.5622880862977,4278.747540687972
11,2022-03-01 06:40:00+00:00,1008.0,Transport,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,432.5704122658257,4476.42071577409
12,2022-03-01 06:45:00+00:00,1008.0,Transport,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,595.4007003251986,4198.698289571905
13,2022-03-01 06:50:00+00:00,1008.0,Transport,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,899.8336266890465,4059.0157433011177
14,2022-03-01 06:55:00+00:00,1008.0,Transport,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,1319.7393001413702,4062.994075447884
15,2022-03-01 07:00:00+00:00,1008.0,AtWork,Hungry,Awake,525.0,2681.567577945835,55.0,Stable,12.0,630.3854671887487,1754.2589604810912,4019.6065806095503
16,2022-03-01 16:05:00+00:00,1008.0,Transport,BecameFull,Awake,525.0,2835.6084707149143,55.0,Stable,12.0,630.3854671887487,1749.107722959826,4023.659852887276
17,2022-03-01 16:10:00+00:00,1008.0,Transport,BecameFull,Awake,525.0,2835.6084707149143,55.0,Stable,12.0,630.3854671887487,1330.347429286658,4063.063138127226
18,2022-03-01 16:15:00+00:00,1008.0,Transport,BecameFull,Awake,525.0,2835.6084707149143,55.0,Stable,12.0,630.3854671887487,910.4330241224702,4059.451573159112
