,date,employerId,0
0,2022-03-01,379.0,1
1,2022-03-01,381.0,4
2,2022-03-01,382.0,5
3,2022-03-01,383.0,6
4,2022-03-01,384.0,3
5,2022-03-01,385.0,5
6,2022-03-01,386.0,5
7,2022-03-01,387.0,2
8,2022-03-01,388.0,5
9,2022-03-01,389.0,3
10,2022-03-01,390.0,3
11,2022-03-01,391.0,2
12,2022-03-01,392.0,3
13,2022-03-01,393.0,4
14,2022-03-01,394.0,1
15,2022-03-01,395.0,3
16,2022-03-01,396.0,7
17,2022-03-01,397.0,6
18,2022-03-01,398.0,4
19,2022-03-01,399.0,5
20,2022-03-01,400.0,2
21,2022-03-01,401.0,5
22,2022-03-01,402.0,4
23,2022-03-01,403.0,6
24,2022-03-01,404.0,2
25,2022-03-01,405.0,5
26,2022-03-01,406.0,6
27,2022-03-01,407.0,4
28,2022-03-01,408.0,6
29,2022-03-01,409.0,1
30,2022-03-01,410.0,4
31,2022-03-01,411.0,3
32,2022-03-01,412.0,2
33,2022-03-01,413.0,5
34,2022-03-01,414.0,6
35,2022-03-01,415.0,5
36,2022-03-01,416.0,5
37,2022-03-01,417.0,3
38,2022-03-01,418.0,4
39,2022-03-01,419.0,2
40,2022-03-01,420.0,3
41,2022-03-01,421.0,5
42,2022-03-01,422.0,4
43,2022-03-01,423.0,5
44,2022-03-01,424.0,5
45,2022-03-01,425.0,4
46,2022-03-01,426.0,4
47,2022-03-01,427.0,5
48,2022-03-01,428.0,4
49,2022-03-01,429.0,5
50,2022-03-01,430.0,2
51,2022-03-01,431.0,1
52,2022-03-01,432.0,4
53,2022-03-01,433.0,1
54,2022-03-01,434.0,7
55,2022-03-01,435.0,4
56,2022-03-01,436.0,4
57,2022-03-01,437.0,6
58,2022-03-01,438.0,6
59,2022-03-01,439.0,6
60,2022-03-01,440.0,5
61,2022-03-01,441.0,5
62,2022-03-01,829.0,2
63,2022-03-01,830.0,4
64,2022-03-01,831.0,3
65,2022-03-01,833.0,3
66,2022-03-01,834.0,2
67,2022-03-01,836.0,2
68,2022-03-01,837.0,5
69,2022-03-01,838.0,5
70,2022-03-01,839.0,1
71,2022-03-01,840.0,3
72,2022-03-01,841.0,5
73,2022-03-01,842.0,3
74,2022-03-01,843.0,5
75,2022-03-01,844.0,1
76,2022-03-01,845.0,5
77,2022-03-01,846.0,2
78,2022-03-01,847.0,6
79,2022-03-01,848.0,2
80,2022-03-01,849.0,3
81,2022-03-01,850.0,4
82,2022-03-01,851.0,4
83,2022-03-01,852.0,4
84,2022-03-01,853.0,3
85,2022-03-01,854.0,3
86,2022-03-01,855.0,5
87,2022-03-01,856.0,4
88,2022-03-01,857.0,5
89,2022-03-01,859.0,5
90,2022-03-01,860.0,2
91,2022-03-01,861.0,3
92,2022-03-01,862.0,3
93,2022-03-01,863.0,4
94,2022-03-01,864.0,3
95,2022-03-01,865.0,7
96,2022-03-01,866.0,2
97,2022-03-01,867.0,6
98,2022-03-01,868.0,8
99,2022-03-01,869.0,5
100,2022-03-01,870.0,4
101,2022-03-01,871.0,5
102,2022-03-01,872.0,3
103,2022-03-01,873.0,6
104,2022-03-01,874.0,6
105,2022-03-01,875.0,1
106,2022-03-01,876.0,8
107,2022-03-01,877.0,8
108,2022-03-01,878.0,7
109,2022-03-01,879.0,2
110,2022-03-01,880.0,5
111,2022-03-01,881.0,2
112,2022-03-01,882.0,2
113,2022-03-01,883.0,8
114,2022-03-01,884.0,1
115,2022-03-01,885.0,4
116,2022-03-01,886.0,3
117,2022-03-01,887.0,6
118,2022-03-01,888.0,3
119,2022-03-01,889.0,2
120,2022-03-01,890.0,2
121,2022-03-01,891.0,5
122,2022-03-01,1279.0,4
123,2022-03-01,1280.0,5
124,2022-03-01,1281.0,5
125,2022-03-01,1282.0,5
126,2022-03-01,1283.0,6
127,2022-03-01,1284.0,4
128,2022-03-01,1285.0,7
129,2022-03-01,1286.0,5
130,2022-03-01,1287.0,5
131,2022-03-01,1288.0,3
132,2022-03-01,1289.0,5
133,2022-03-01,1290.0,4
134,2022-03-01,1291.0,6
135,2022-03-01,1292.0,4
136,2022-03-01,1293.0,2
137,2022-03-01,1294.0,1
138,2022-03-01,1295.0,5
139,2022-03-01,1296.0,3
140,2022-03-01,1297.0,6
141,2022-03-01,1298.0,6
142,2022-03-01,1299.0,6
143,2022-03-01,1300.0,5
144,2022-03-01,1301.0,2
145,2022-03-01,1302.0,5
146,2022-03-01,1303.0,3
147,2022-03-01,1304.0,5
148,2022-03-01,1305.0,3
149,2022-03-01,1306.0,8
150,2022-03-01,1307.0,5
151,2022-03-01,1308.0,2
152,2022-03-01,1309.0,5
153,2022-03-01,1310.0,3
154,2022-03-01,1311.0,5
155,2022-03-01,1312.0,2
156,2022-03-01,1313.0,4
157,2022-03-01,1314.0,2
158,2022-03-01,1315.0,9
159,2022-03-01,1316.0,3
160,2022-03-01,1317.0,5
161,2022-03-01,1318.0,3
162,2022-03-01,1319.0,2
163,2022-03-01,1320.0,2
164,2022-03-01,1321.0,3
165,2022-03-01,1322.0,2
166,2022-03-01,1323.0,6
167,2022-03-01,1324.0,2
168,2022-03-01,1325.0,3
169,2022-03-01,1326.0,5
170,2022-03-01,1327.0,3
171,2022-03-01,1328.0,2
172,2022-03-01,1329.0,3
173,2022-03-01,1330.0,7
174,2022-03-01,1331.0,2
175,2022-03-01,1332.0,3
176,2022-03-01,1333.0,2
177,2022-03-01,1334.0,3
178,2022-03-01,1335.0,1
179,2022-03-01,1336.0,3
180,2022-03-01,1337.0,5
181,2022-03-01,1338.0,2
182,2022-03-01,1339.0,4
183,2022-03-01,1340.0,4
184,2022-03-01,1341.0,5
185,2022-03-01,1734.0,3
186,2022-03-01,1735.0,7
187,2022-03-01,1736.0,5
188,2022-03-01,1737.0,6
189,2022-03-01,1738.0,2
190,2022-03-01,1739.0,3
191,2022-03-01,1740.0,3
192,2022-03-01,1741.0,2
193,2022-03-01,1742.0,7
194,2022-03-01,1743.0,5
195,2022-03-01,1744.0,5
196,2022-03-01,1745.0,7
197,2022-03-01,1746.0,5
198,2022-03-01,1747.0,4
199,2022-03-01,1748.0,7
200,2022-03-01,1749.0,6
201,2022-03-01,1750.0,2
202,2022-03-01,1751.0,1
203,2022-03-01,1752.0,2
204,2022-03-01,1753.0,1
205,2022-03-01,1754.0,2
206,2022-03-01,1755.0,3
207,2022-03-01,1756.0,3
208,2022-03-01,1757.0,7
209,2022-03-01,1758.0,3
210,2022-03-01,1759.0,8
211,2022-03-01,1760.0,6
212,2022-03-01,1761.0,3
213,2022-03-01,1762.0,1
214,2022-03-01,1763.0,9
215,2022-03-01,1764.0,6
216,2022-03-01,1765.0,7
217,2022-03-01,1766.0,5
218,2022-03-01,1767.0,4
219,2022-03-01,1768.0,5
220,2022-03-01,1769.0,2
221,2022-03-01,1770.0,6
222,2022-03-01,1771.0,8
223,2022-03-01,1772.0,2
224,2022-03-01,1773.0,2
225,2022-03-01,1774.0,5
226,2022-03-01,1775.0,1
227,2022-03-01,1776.0,3
228,2022-03-01,1777.0,2
229,2022-03-01,1778.0,2
230,2022-03-01,1779.0,5
231,2022-03-01,1780.0,2
232,2022-03-01,1781.0,4
233,2022-03-01,1782.0,5
234,2022-03-01,1783.0,3
235,2022-03-01,1784.0,4
236,2022-03-01,1785.0,3
237,2022-03-01,1786.0,8
238,2022-03-01,1787.0,2
239,2022-03-01,1788.0,6
240,2022-03-01,1789.0,6
241,2022-03-01,1790.0,7
242,2022-03-01,1791.0,3
243,2022-03-01,1792.0,7
244,2022-03-01,1793.0,7
245,2022-03-01,1794.0,2
